
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-07-22 12:01:33 /bench1 .................................... ~ 501.86ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.03ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.03ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.24ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.47ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.32ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.32ms
  2026-07-22 12:01:33 /bench1 .................................... ~ 505.43ms
  2026-07-22 12:01:33 /bench1 .................................... ~ 505.35ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:33 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:34 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:34 /bench1 .................................... ~ 505.36ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.23ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:34 /bench1 .................................... ~ 501.49ms
  2026-07-22 12:01:34 /bench1 .................................... ~ 501.51ms
  2026-07-22 12:01:34 /bench1 ...................................... ~ 0.22ms
